Canadian Interest Rates,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Daily series: 2015-06-01 - 2024-06-03,,,,,,,,,,,,,,
V39079 = Target for the overnight rate,,,,,,,,,,,,,,
V39078 = Bank rate,,,,,,,,,,,,,,
Canadian Overnight Repo Rate Average (CORRA) (%) = Canadian Overnight Repo Rate Average (CORRA) (%),,,,,,,,,,,,,,
V39068 = Bankers' acceptances - 1 Month,,,,,,,,,,,,,,
V39071 = Bankers' acceptances - 3 month,,,,,,,,,,,,,,
V39072 = Prime Corporate Paper Rate - 1 Month,,,,,,,,,,,,,,
V39074 = Prime Corporate Paper Rate - 3 Month,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Summary,Date,V39079,Date,V39078,Date,Canadian Overnight Repo Rate Average (CORRA) (%),Date,V39068,Date,V39071,Date,V39072,Date,V39074
Low,2022-03-02,0.25,2022-03-02,0.5,2021-12-13,0.05,2015-07-20,0.65,2016-01-19,0.65,2015-09-04,0.61,2015-09-04,0.61
High,2024-06-03,5,2024-06-03,5.25,2024-01-31,5.07,2018-12-31,2.25,2018-12-31,2.24,2018-12-28,2.24,2018-12-31,2.21
Average,2015-06-01 - 2024-06-03,1.58,2015-06-01 - 2024-06-03,1.81,2015-06-01 - 2024-06-03,1.5697,2015-06-01 - 2019-01-01,1.12,2015-06-01 - 2019-01-01,1.17,2015-06-01 - 2019-01-01,1.09,2015-06-01 - 2019-01-01,1.14
,,,,,,,,,,,,,,
Date,V39079,V39078,Canadian Overnight Repo Rate Average (CORRA) (%),V39068,V39071,V39072,V39074,,,,,,,
2015-06-01,0.75,1,0.758,0.9,0.92,0.87,0.89,,,,,,,
2015-06-02,0.75,1,0.7805,0.9,0.92,0.87,0.89,,,,,,,
2015-06-03,0.75,1,0.7533,0.9,0.92,0.87,0.89,,,,,,,
2015-06-04,0.75,1,0.7778,0.9,0.91,0.87,0.89,,,,,,,
2015-06-05,0.75,1,0.7308,0.9,0.92,0.87,0.89,,,,,,,
2015-06-08,0.75,1,0.7443,0.9,0.92,0.87,0.89,,,,,,,
2015-06-09,0.75,1,0.7368,0.9,0.92,0.87,0.89,,,,,,,
2015-06-10,0.75,1,0.7417,0.9,0.93,0.87,0.89,,,,,,,
2015-06-11,0.75,1,0.7159,0.9,0.93,0.87,0.89,,,,,,,
2015-06-12,0.75,1,0.7381,0.91,0.93,0.87,0.89,,,,,,,
2015-06-15,0.75,1,0.7368,0.91,0.93,0.87,0.89,,,,,,,
2015-06-16,0.75,1,0.7479,0.91,0.93,0.87,0.89,,,,,,,
2015-06-17,0.75,1,0.7444,0.91,0.93,0.87,0.89,,,,,,,
2015-06-18,0.75,1,0.7353,0.91,0.93,0.87,0.89,,,,,,,
2015-06-19,0.75,1,0.7465,0.91,0.93,0.87,0.89,,,,,,,
2015-06-22,0.75,1,0.7545,0.91,0.92,0.87,0.89,,,,,,,
2015-06-23,0.75,1,0.739,0.91,0.92,0.87,0.89,,,,,,,
2015-06-24,0.75,1,0.7274,0.91,0.92,0.87,0.89,,,,,,,
2015-06-25,0.75,1,0.7427,0.91,0.92,0.87,0.89,,,,,,,
